quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2011-Q1,services,real estate services,real estate services,40,40,-
2011-Q1,services,professional services,"legal, accounting and management services",100,80,20
2011-Q1,services,professional services,architectural and engineering services,10,10,-
2011-Q1,services,professional services,other professional services,170,160,-
2011-Q1,services,administrative and support services,security and investigation,-,-,-
2011-Q1,services,administrative and support services,cleaning and landscaping,-,-,-
2011-Q1,services,administrative and support services,other adminstrative and support services,10,10,10
2011-Q1,services,"community, social and personal services",public administration and education,-,-,-
2011-Q1,services,"community, social and personal services",health and social services,-,-,-
2011-Q1,services,"community, social and personal services","arts, entertainment and recreation",10,-,10
2011-Q1,services,"community, social and personal services","other community, social and personal services",20,20,-
2011-Q1,others,others,others,-,-,-
2011-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2011-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",110,110,-
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",20,20,-
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",160,90,70
2011-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",270,260,10
2011-Q2,manufacturing,transport equipment,transport equipment,10,10,-
2011-Q2,manufacturing,other manufacturing industries,other manufacturing industries,30,30,-
2011-Q2,construction,construction,construction,410,190,220
2011-Q2,services,wholesale and retail trade,wholesale trade,110,100,10
2011-Q2,services,wholesale and retail trade,retail trade,160,150,-
2011-Q2,services,transportation and storage,land transport and supporting services,20,20,-
2011-Q2,services,transportation and storage,water transport and supporting services,20,20,-
2011-Q2,services,transportation and storage,air transport and supporting services,-,-,-
2011-Q2,services,transportation and storage,other transport and storage services,10,10,-
2011-Q2,services,accommodation and food services,accommodation,-,-,-
2011-Q2,services,accommodation and food services,food and beverage services,80,80,-
2011-Q2,services,information and communications,"telecommunications, broadcasting and publishing",70,70,-
2011-Q2,services,information and communications,it and other information services,80,60,20
2011-Q2,services,financial and insurance services,financial services,130,110,20
2011-Q2,services,financial and insurance services,insurance services,40,40,-
2011-Q2,services,real estate services,real estate services,20,-,10
2011-Q2,services,professional services,"legal, accounting and management services",60,50,10
2011-Q2,services,professional services,architectural and engineering services,60,30,30
2011-Q2,services,professional services,other professional services,40,40,-
2011-Q2,services,administrative and support services,security and investigation,-,-,-
2011-Q2,services,administrative and support services,cleaning and landscaping,-,-,-
2011-Q2,services,administrative and support services,other adminstrative and support services,-,-,-
2011-Q2,services,"community, social and personal services",public administration and education,-,-,-
2011-Q2,services,"community, social and personal services",health and social services,-,-,-
2011-Q2,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2011-Q2,services,"community, social and personal services","other community, social and personal services",130,130,-
2011-Q2,others,others,others,10,10,-
2011-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2011-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",120,120,10
2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",40,40,-
2011-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",180,120,60
2011-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",70,60,-
2011-Q3,manufacturing,transport equipment,transport equipment,90,-,90
2011-Q3,manufacturing,other manufacturing industries,other manufacturing industries,270,120,140
2011-Q3,construction,construction,construction,100,30,70
2011-Q3,services,wholesale and retail trade,wholesale trade,250,250,-
2011-Q3,services,wholesale and retail trade,retail trade,20,20,-
2017-Q1,construction,construction,construction,660,370,290
2011-Q3,services,transportation and storage,land transport and supporting services,40,-,40
2011-Q3,services,transportation and storage,water transport and supporting services,40,30,10
2011-Q3,services,transportation and storage,air transport and supporting services,-,-,-
2011-Q3,services,transportation and storage,other transport and storage services,30,10,30
2011-Q3,services,accommodation and food services,accommodation,70,70,-
2011-Q3,services,accommodation and food services,food and beverage services,30,30,-
2011-Q3,services,information and communications,"telecommunications, broadcasting and publishing",50,50,-
2011-Q3,services,information and communications,it and other information services,50,30,20
2011-Q3,services,financial and insurance services,financial services,160,150,-
2011-Q3,services,financial and insurance services,insurance services,10,10,-
2011-Q3,services,real estate services,real estate services,10,-,10
2011-Q3,services,professional services,"legal, accounting and management services",140,110,40
2011-Q3,services,professional services,architectural and engineering services,60,40,20
2011-Q3,services,professional services,other professional services,40,40,-
2011-Q3,services,administrative and support services,security and investigation,-,-,-
2011-Q3,services,administrative and support services,cleaning and landscaping,-,-,-
2011-Q3,services,administrative and support services,other adminstrative and support services,30,10,20
2011-Q3,services,"community, social and personal services",public administration and education,-,-,-
2011-Q3,services,"community, social and personal services",health and social services,-,-,-
2011-Q3,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2011-Q3,services,"community, social and personal services","other community, social and personal services",10,10,-
2011-Q3,others,others,others,40,40,-
2011-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2011-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",370,360,-
2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",120,120,-
2011-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",140,110,40
2011-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",680,680,-
2011-Q4,manufacturing,transport equipment,transport equipment,40,10,30
2011-Q4,manufacturing,other manufacturing industries,other manufacturing industries,300,270,40
2011-Q4,construction,construction,construction,240,160,80
2011-Q4,services,wholesale and retail trade,wholesale trade,210,200,10
2011-Q4,services,wholesale and retail trade,retail trade,110,100,-
2011-Q4,services,transportation and storage,land transport and supporting services,-,-,-
2011-Q4,services,transportation and storage,water transport and supporting services,-,-,-
2011-Q4,services,transportation and storage,air transport and supporting services,-,-,-
2011-Q4,services,transportation and storage,other transport and storage services,20,20,-
2011-Q4,services,accommodation and food services,accommodation,-,-,-
2011-Q4,services,accommodation and food services,food and beverage services,20,20,-
2011-Q4,services,information and communications,"telecommunications, broadcasting and publishing",90,90,-
2011-Q4,services,information and communications,it and other information services,70,50,20
2011-Q4,services,financial and insurance services,financial services,380,380,-
2011-Q4,services,financial and insurance services,insurance services,10,10,-
2011-Q4,services,real estate services,real estate services,70,40,30
2011-Q4,services,professional services,"legal, accounting and management services",150,150,-
2011-Q4,services,professional services,architectural and engineering services,60,30,30
2011-Q4,services,professional services,other professional services,40,40,-
2011-Q4,services,administrative and support services,security and investigation,-,-,-
2011-Q4,services,administrative and support services,cleaning and landscaping,10,-,10
2011-Q4,services,administrative and support services,other adminstrative and support services,40,40,-
2011-Q4,services,"community, social and personal services",public administration and education,10,10,-
2011-Q4,services,"community, social and personal services",health and social services,-,-,-
2011-Q4,services,"community, social and personal services","arts, entertainment and recreation",30,30,-
2011-Q4,services,"community, social and personal services","other community, social and personal services",30,10,20
2011-Q4,others,others,others,-,-,-
2012-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,-,10
2012-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",170,160,10
2012-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",40,30,10
2012-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",170,150,20
2012-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",130,120,-
2012-Q1,manufacturing,transport equipment,transport equipment,80,-,80
2012-Q1,manufacturing,other manufacturing industries,other manufacturing industries,160,140,20
2012-Q1,construction,construction,construction,260,220,40
2012-Q1,services,wholesale and retail trade,wholesale trade,390,370,10
2017-Q3,construction,construction,construction,490,370,130
2012-Q1,services,wholesale and retail trade,retail trade,30,30,-
2012-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2012-Q1,services,transportation and storage,water transport and supporting services,40,40,-
2012-Q1,services,transportation and storage,air transport and supporting services,-,-,-
2012-Q1,services,transportation and storage,other transport and storage services,40,40,-
2012-Q1,services,accommodation and food services,accommodation,100,100,-
2012-Q1,services,accommodation and food services,food and beverage services,110,100,10
2012-Q1,services,information and communications,"telecommunications, broadcasting and publishing",80,80,-
2012-Q1,services,information and communications,it and other information services,120,90,30
2012-Q1,services,financial and insurance services,financial services,370,370,-
2012-Q1,services,financial and insurance services,insurance services,10,10,-
2012-Q1,services,real estate services,real estate services,40,10,20
2012-Q1,services,professional services,"legal, accounting and management services",120,120,-
2012-Q1,services,professional services,architectural and engineering services,20,10,10
2012-Q1,services,professional services,other professional services,30,20,-
2012-Q1,services,administrative and support services,security and investigation,-,-,-
2012-Q1,services,administrative and support services,cleaning and landscaping,20,20,-
2012-Q1,services,administrative and support services,other adminstrative and support services,40,20,30
2012-Q1,services,"community, social and personal services",public administration and education,-,-,-
2012-Q1,services,"community, social and personal services",health and social services,-,-,-
2012-Q1,services,"community, social and personal services","arts, entertainment and recreation",20,20,-
2012-Q1,services,"community, social and personal services","other community, social and personal services",20,10,10
2012-Q1,others,others,others,-,-,-
2012-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2012-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",100,60,30
2012-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",60,60,-
2012-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",170,170,-
2012-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",130,120,10
2012-Q2,manufacturing,transport equipment,transport equipment,10,10,-
2012-Q2,manufacturing,other manufacturing industries,other manufacturing industries,50,50,-
2012-Q2,construction,construction,construction,180,130,50
2012-Q2,services,wholesale and retail trade,wholesale trade,340,330,10
2012-Q2,services,wholesale and retail trade,retail trade,30,30,-
2012-Q2,services,transportation and storage,land transport and supporting services,-,-,-
2012-Q2,services,transportation and storage,water transport and supporting services,60,60,-
2012-Q2,services,transportation and storage,air transport and supporting services,10,10,-
2012-Q2,services,transportation and storage,other transport and storage services,10,10,-
2012-Q2,services,accommodation and food services,accommodation,-,-,-
2012-Q2,services,accommodation and food services,food and beverage services,30,10,20
2012-Q2,services,information and communications,"telecommunications, broadcasting and publishing",90,80,-
2012-Q2,services,information and communications,it and other information services,120,70,40
2012-Q2,services,financial and insurance services,financial services,420,400,10
2012-Q2,services,financial and insurance services,insurance services,10,-,-
2012-Q2,services,real estate services,real estate services,20,10,10
2012-Q2,services,professional services,"legal, accounting and management services",160,160,-
2012-Q2,services,professional services,architectural and engineering services,10,10,-
2012-Q2,services,professional services,other professional services,40,40,-
2012-Q2,services,administrative and support services,security and investigation,-,-,-
2012-Q2,services,administrative and support services,cleaning and landscaping,-,-,-
2012-Q2,services,administrative and support services,other adminstrative and support services,80,40,40
2012-Q2,services,"community, social and personal services",public administration and education,30,30,-
2012-Q2,services,"community, social and personal services",health and social services,-,-,-
2012-Q2,services,"community, social and personal services","arts, entertainment and recreation",60,60,-
2012-Q2,services,"community, social and personal services","other community, social and personal services",-,-,-
2012-Q2,others,others,others,-,-,-
2012-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2012-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",100,100,-
2012-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",100,100,-
2012-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",90,60,30
2012-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",830,780,50
2012-Q3,manufacturing,transport equipment,transport equipment,20,10,10
2012-Q3,manufacturing,other manufacturing industries,other manufacturing industries,40,40,-
2012-Q3,construction,construction,construction,140,50,90
2012-Q3,services,wholesale and retail trade,wholesale trade,300,280,20
2012-Q3,services,wholesale and retail trade,retail trade,280,280,-
2012-Q3,services,transportation and storage,land transport and supporting services,-,-,-
2012-Q3,services,transportation and storage,water transport and supporting services,50,50,-
2012-Q3,services,transportation and storage,air transport and supporting services,-,-,-
2012-Q3,services,transportation and storage,other transport and storage services,30,20,10
2012-Q3,services,accommodation and food services,accommodation,-,-,-
2012-Q3,services,accommodation and food services,food and beverage services,30,30,-
2012-Q3,services,information and communications,"telecommunications, broadcasting and publishing",40,40,-
2012-Q3,services,information and communications,it and other information services,90,50,50
2012-Q3,services,financial and insurance services,financial services,200,200,-
2012-Q3,services,financial and insurance services,insurance services,-,-,-
2012-Q3,services,real estate services,real estate services,-,-,-
2012-Q3,services,professional services,"legal, accounting and management services",140,140,-
2012-Q3,services,professional services,architectural and engineering services,160,10,150
2012-Q3,services,professional services,other professional services,40,40,-
2012-Q3,services,administrative and support services,security and investigation,-,-,-
2012-Q3,services,administrative and support services,cleaning and landscaping,-,-,-
2012-Q3,services,administrative and support services,other adminstrative and support services,70,60,10
2012-Q3,services,"community, social and personal services",public administration and education,10,10,-
2012-Q3,services,"community, social and personal services",health and social services,30,30,-
2012-Q3,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2012-Q3,services,"community, social and personal services","other community, social and personal services",30,20,-
2012-Q3,others,others,others,10,10,-
2012-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2012-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",220,220,-
2012-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",40,40,-
2012-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",330,290,40
2012-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",700,700,-
2012-Q4,manufacturing,transport equipment,transport equipment,10,10,10
2012-Q4,manufacturing,other manufacturing industries,other manufacturing industries,290,280,10
2012-Q4,construction,construction,construction,70,40,30
2012-Q4,services,wholesale and retail trade,wholesale trade,250,240,10
2012-Q4,services,wholesale and retail trade,retail trade,220,220,-
2012-Q4,services,transportation and storage,land transport and supporting services,-,-,-
2012-Q4,services,transportation and storage,water transport and supporting services,10,10,-
2012-Q4,services,transportation and storage,air transport and supporting services,-,-,-
2012-Q4,services,transportation and storage,other transport and storage services,30,20,10
2012-Q4,services,accommodation and food services,accommodation,-,-,-
2012-Q4,services,accommodation and food services,food and beverage services,10,10,-
2012-Q4,services,information and communications,"telecommunications, broadcasting and publishing",130,130,-
2012-Q4,services,information and communications,it and other information services,60,50,10
2012-Q4,services,financial and insurance services,financial services,320,320,-
2012-Q4,services,financial and insurance services,insurance services,60,60,-
2012-Q4,services,real estate services,real estate services,-,-,-
2012-Q4,services,professional services,"legal, accounting and management services",130,120,10
2012-Q4,services,professional services,architectural and engineering services,280,90,190
2012-Q4,services,professional services,other professional services,90,90,-
2012-Q4,services,administrative and support services,security and investigation,10,-,10
2012-Q4,services,administrative and support services,cleaning and landscaping,-,-,-
2012-Q4,services,administrative and support services,other adminstrative and support services,60,10,40
2012-Q4,services,"community, social and personal services",public administration and education,10,-,-
2012-Q4,services,"community, social and personal services",health and social services,-,-,-
2012-Q4,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2012-Q4,services,"community, social and personal services","other community, social and personal services",20,20,-
2012-Q4,others,others,others,-,-,-
2013-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2013-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",40,40,-
2013-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-,-,-
2013-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",200,190,10
2013-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",290,290,-
2013-Q1,manufacturing,transport equipment,transport equipment,10,10,-
2013-Q1,manufacturing,other manufacturing industries,other manufacturing industries,140,140,-
2013-Q1,services,wholesale and retail trade,wholesale trade,260,250,10
2013-Q1,services,wholesale and retail trade,retail trade,10,10,-
2013-Q1,services,transportation and storage,land transport and supporting services,10,-,-
2013-Q1,services,transportation and storage,water transport and supporting services,10,10,-
2013-Q1,services,transportation and storage,air transport and supporting services,20,10,10
2013-Q1,services,transportation and storage,other transport and storage services,60,50,10
2013-Q1,services,accommodation and food services,accommodation,-,-,-
2013-Q1,services,accommodation and food services,food and beverage services,50,40,10
2013-Q1,services,information and communications,"telecommunications, broadcasting and publishing",120,120,10
2013-Q1,services,information and communications,it and other information services,80,80,-
2013-Q1,services,financial and insurance services,financial services,310,300,10
2013-Q1,services,financial and insurance services,insurance services,10,10,-
2013-Q1,services,real estate services,real estate services,-,-,-
2013-Q1,services,professional services,"legal, accounting and management services",170,170,-
2013-Q1,services,professional services,architectural and engineering services,130,130,-
2013-Q1,services,professional services,other professional services,10,10,-
2013-Q1,services,administrative and support services,security and investigation,-,-,-
2013-Q1,services,administrative and support services,cleaning and landscaping,-,-,-
2013-Q1,services,administrative and support services,other adminstrative and support services,20,20,-
2013-Q1,services,"community, social and personal services",public administration and education,10,10,-
2013-Q1,services,"community, social and personal services",health and social services,-,-,-
2013-Q1,services,"community, social and personal services","arts, entertainment and recreation",10,10,10
2013-Q1,services,"community, social and personal services","other community, social and personal services",10,10,-
2013-Q1,others,others,others,10,10,-
2013-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2013-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",110,100,10
2013-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",10,10,-
2013-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",210,210,-
2013-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",560,560,-
2013-Q2,manufacturing,transport equipment,transport equipment,70,70,-
2013-Q2,manufacturing,other manufacturing industries,other manufacturing industries,660,650,10
2013-Q2,construction,construction,construction,250,160,100
2013-Q2,services,wholesale and retail trade,wholesale trade,250,240,10
2013-Q2,services,wholesale and retail trade,retail trade,20,20,-
2013-Q2,services,transportation and storage,land transport and supporting services,-,-,-
2013-Q2,services,transportation and storage,water transport and supporting services,30,30,-
2013-Q2,services,transportation and storage,air transport and supporting services,30,10,20
2013-Q2,services,transportation and storage,other transport and storage services,20,20,-
2013-Q2,services,accommodation and food services,accommodation,-,-,-
2013-Q2,services,accommodation and food services,food and beverage services,60,40,10
2013-Q2,services,information and communications,"telecommunications, broadcasting and publishing",130,120,10
2013-Q2,services,information and communications,it and other information services,100,80,20
2013-Q2,services,financial and insurance services,financial services,250,250,-
2013-Q2,services,financial and insurance services,insurance services,10,10,-
2013-Q2,services,real estate services,real estate services,-,-,-
2013-Q2,services,professional services,"legal, accounting and management services",140,140,-
2013-Q2,services,professional services,architectural and engineering services,60,20,40
2013-Q2,services,professional services,other professional services,20,10,-
2013-Q2,services,administrative and support services,security and investigation,-,-,-
2013-Q2,services,administrative and support services,cleaning and landscaping,10,10,-
2013-Q2,services,administrative and support services,other adminstrative and support services,50,30,20
2013-Q2,services,"community, social and personal services",public administration and education,10,10,-
2013-Q2,services,"community, social and personal services",health and social services,-,-,-
2013-Q2,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2013-Q2,services,"community, social and personal services","other community, social and personal services",20,20,-
2013-Q2,others,others,others,-,-,-
2013-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,-,10
2013-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",150,150,-
2013-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",40,40,-
2013-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",180,180,10
2013-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",580,580,-
2013-Q3,manufacturing,transport equipment,transport equipment,60,40,20
2013-Q3,manufacturing,other manufacturing industries,other manufacturing industries,230,230,-
2013-Q3,services,wholesale and retail trade,wholesale trade,310,300,20
2013-Q3,services,wholesale and retail trade,retail trade,-,-,-
2013-Q3,services,transportation and storage,land transport and supporting services,-,-,-
2013-Q3,services,transportation and storage,water transport and supporting services,50,30,20
2013-Q3,services,transportation and storage,air transport and supporting services,50,-,50
2013-Q3,services,transportation and storage,other transport and storage services,20,20,-
2013-Q3,services,accommodation and food services,accommodation,10,10,-
2013-Q3,services,accommodation and food services,food and beverage services,40,40,-
2013-Q3,services,information and communications,"telecommunications, broadcasting and publishing",50,50,-
2013-Q3,services,information and communications,it and other information services,80,60,20
2013-Q3,services,financial and insurance services,financial services,270,270,-
2013-Q3,services,financial and insurance services,insurance services,10,10,-
2013-Q3,services,real estate services,real estate services,20,-,20
2013-Q3,services,professional services,"legal, accounting and management services",110,110,-
2013-Q3,services,professional services,architectural and engineering services,20,20,-
2013-Q3,services,professional services,other professional services,60,60,-
2013-Q3,services,administrative and support services,security and investigation,-,-,-
2013-Q3,services,administrative and support services,cleaning and landscaping,-,-,-
2013-Q3,services,administrative and support services,other adminstrative and support services,60,10,40
2013-Q3,services,"community, social and personal services",public administration and education,-,-,-
2013-Q3,services,"community, social and personal services",health and social services,-,-,-
2013-Q3,services,"community, social and personal services","arts, entertainment and recreation",10,-,10
2013-Q3,services,"community, social and personal services","other community, social and personal services",30,30,-
2013-Q3,others,others,others,-,-,-
2013-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2013-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",80,70,-
2013-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",170,160,10
2013-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",100,80,20
2013-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",860,860,-
2013-Q4,manufacturing,transport equipment,transport equipment,60,30,30
2013-Q4,manufacturing,other manufacturing industries,other manufacturing industries,170,150,20
2013-Q4,construction,construction,construction,480,300,180
2013-Q4,services,wholesale and retail trade,wholesale trade,360,360,10
2013-Q4,services,wholesale and retail trade,retail trade,70,70,-
2013-Q4,services,transportation and storage,land transport and supporting services,-,-,-
2013-Q4,services,transportation and storage,water transport and supporting services,50,50,-
2013-Q4,services,transportation and storage,air transport and supporting services,-,-,-
2013-Q4,services,transportation and storage,other transport and storage services,100,100,10
2013-Q4,services,accommodation and food services,accommodation,-,-,-
2013-Q4,services,accommodation and food services,food and beverage services,70,70,-
2013-Q4,services,information and communications,"telecommunications, broadcasting and publishing",180,180,-
2013-Q4,services,information and communications,it and other information services,100,90,10
2013-Q4,services,financial and insurance services,financial services,400,400,-
2013-Q4,services,financial and insurance services,insurance services,-,-,-
2013-Q4,services,real estate services,real estate services,10,10,-
2013-Q4,services,professional services,"legal, accounting and management services",180,180,-
2013-Q4,services,professional services,architectural and engineering services,30,20,20
2013-Q4,services,professional services,other professional services,30,30,-
2013-Q4,services,administrative and support services,security and investigation,-,-,-
2013-Q4,services,administrative and support services,cleaning and landscaping,-,-,-
2013-Q4,services,administrative and support services,other adminstrative and support services,70,50,20
2013-Q4,services,"community, social and personal services",public administration and education,10,10,-
2013-Q4,services,"community, social and personal services",health and social services,10,10,-
2013-Q4,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2013-Q4,services,"community, social and personal services","other community, social and personal services",50,50,-
2013-Q4,others,others,others,-,-,-
2014-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",50,40,-
2014-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",70,70,-
2014-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",60,60,-
2014-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",200,190,-
2014-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",180,180,-
2014-Q1,manufacturing,transport equipment,transport equipment,60,60,-
2014-Q1,manufacturing,other manufacturing industries,other manufacturing industries,200,200,-
2014-Q1,services,wholesale and retail trade,wholesale trade,430,410,20
2014-Q1,services,wholesale and retail trade,retail trade,30,30,-
2014-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2014-Q1,services,transportation and storage,water transport and supporting services,70,70,10
2014-Q1,services,transportation and storage,air transport and supporting services,10,-,-
2014-Q1,services,transportation and storage,other transport and storage services,40,30,10
2014-Q1,services,accommodation and food services,accommodation,240,240,-
2014-Q1,services,accommodation and food services,food and beverage services,30,30,-
2014-Q1,services,information and communications,"telecommunications, broadcasting and publishing",120,110,-
2014-Q1,services,information and communications,it and other information services,220,80,140
2014-Q1,services,financial and insurance services,financial services,250,250,-
2014-Q1,services,financial and insurance services,insurance services,-,-,-
2014-Q1,services,real estate services,real estate services,10,10,-
2014-Q1,services,professional services,"legal, accounting and management services",250,250,-
2014-Q1,services,professional services,architectural and engineering services,50,30,10
2014-Q1,services,professional services,other professional services,40,30,-
2014-Q1,services,administrative and support services,security and investigation,40,-,40
2014-Q1,services,administrative and support services,cleaning and landscaping,10,-,-
2014-Q1,services,administrative and support services,other adminstrative and support services,50,20,30
2014-Q1,services,"community, social and personal services",public administration and education,10,10,-
2014-Q1,services,"community, social and personal services",health and social services,-,-,-
2014-Q1,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2014-Q1,services,"community, social and personal services","other community, social and personal services",20,20,-
2014-Q1,others,others,others,-,-,-
2014-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2014-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",20,20,-
2014-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2014-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",190,140,50
2014-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",240,240,-
2014-Q2,manufacturing,transport equipment,transport equipment,60,50,10
2014-Q2,manufacturing,other manufacturing industries,other manufacturing industries,160,10,150
2014-Q2,construction,construction,construction,280,200,80
2014-Q2,services,wholesale and retail trade,wholesale trade,360,350,10
2014-Q2,services,wholesale and retail trade,retail trade,10,10,-
2014-Q2,services,transportation and storage,land transport and supporting services,-,-,-
2014-Q2,services,transportation and storage,water transport and supporting services,80,80,-
2014-Q2,services,transportation and storage,air transport and supporting services,-,-,-
2014-Q2,services,transportation and storage,other transport and storage services,30,20,10
2014-Q2,services,accommodation and food services,accommodation,-,-,-
2014-Q2,services,accommodation and food services,food and beverage services,40,30,10
2014-Q2,services,information and communications,"telecommunications, broadcasting and publishing",60,60,-
2014-Q2,services,information and communications,it and other information services,80,70,10
2014-Q2,services,financial and insurance services,financial services,340,340,-
2014-Q2,services,financial and insurance services,insurance services,20,20,-
2014-Q2,services,real estate services,real estate services,50,50,-
2014-Q2,services,professional services,"legal, accounting and management services",230,230,-
2014-Q2,services,professional services,architectural and engineering services,20,20,-
2014-Q2,services,professional services,other professional services,20,20,-
2014-Q2,services,administrative and support services,security and investigation,-,-,-
2014-Q2,services,administrative and support services,cleaning and landscaping,-,-,-
2014-Q2,services,administrative and support services,other adminstrative and support services,40,10,20
2014-Q2,services,"community, social and personal services",public administration and education,30,10,20
2014-Q2,services,"community, social and personal services",health and social services,-,-,-
2014-Q2,services,"community, social and personal services","arts, entertainment and recreation",10,10,-
2014-Q2,services,"community, social and personal services","other community, social and personal services",10,10,-
2014-Q2,others,others,others,-,-,-
2014-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-,-,-
2014-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",10,-,-
